Recipient or Vendor Name,Funding or Award Amount,Program or Contract Title,Recipient or Award City Name,Recipient or Award County,Recipient or Award State ,Recipient or Award Zip Code
"NATIONAL GUARD, ARKANSAS DEPAR","$22,000.00",BLDG 1390 ENERGY MGMT CONTROL SYSTEM/ HVAC/ T-8 LIGHTS,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",BLDG 1584 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$63,000.00",BLDG 1589 ENERGY MGMT CONTROL SYSTEM/ HVAC/ T-8 LIGHTS,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$8,000.00",BLDG 1756 HVAC/T8 LIGHTS INSTALL,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$7,000.00",BLDG 7046 ENERGY MGMT CONTROL SYSTEM INSTALLATION,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$8,000.00",BLDG 7047 ENERGY MGMT CONTROL SYSTEM SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$3,000.00",BLDG 7104 ENERGY MGMT CONTROL SYSTEM SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$150,000.00",BRING INDEPENDENCE HALL UP TO CURRENT ENERGY STANDARDS,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$1,549,000.00",BRING PEC MULTI-USE FACILITY UP TO CURRENT BUILDING STANDARDS,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$7,000.00",CR02600 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$22,000.00",CR03400 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$6,000.00",CR0358 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$7,000.00",CR04403 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",CR05130 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$13,000.00",CR06200 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$4,000.00",CR06203 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",CR06400 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",CR06404 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$6,000.00",CR06500 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",CR07202 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$12,000.00",CR07300 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$40,000.00",CR1404 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$10,000.00",CR17300 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$7,000.00",CR17301 ENERGY MGMT CONTROL SYSTEM,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$140,000.00",ENERGY MGMT CONTROL SYSTEM INSTALLATION,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$39,000.00",HAZEN ARMORY RECOMMISSIONING,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$542,000.00",LIGHTING REPLACEMENT,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$26,000.00",PEC TRUMAN HALL WINDOW REPL,NORTH LITTLE ROCK,,AR,72199
BARNETT PAVING AND SEALING LIMITED PARTNERSHIP,"$1,995,319.26",REPAIR ALERT AIRFIELD PARKING RAMP,LITTLE ROCK AFB,PULASKI,AR,720994971
BARNETT PAVING AND SEALING LIMITED PARTNERSHIP,"$3,039,695.46",REPAIR APRON JOINT SEAL/SLABS,LITTLE ROCK AFB,PULASKI,AR,720994971
ARNOLD ELECTRIC COMPANY INCORPORATED,"$115,270.39",REPAIR FIRE DETECTION SYSTEM LODGING 1020,LITTLE ROCK AFB,PULASKI,AR,720994971
JACK MORGAN CONSTRUCTION COMPANY INCORPORATED,"$250,852.50",REPAIR INSTALL SPRINKLER SYS LODGING 1020,LITTLE ROCK AFB,PULASKI,AR,720994971
JACK MORGAN CONSTRUCTION COMPANY INCORPORATED,"$309,627.09",REPAIR INSTALL SPRINKLER SYSTEM LODGING 1024,LITTLE ROCK AFB,PULASKI,AR,720994971
ARNOLD ELECTRIC COMPANY INCORPORATED,"$128,031.38",REPAIR LODGING 1024 FIRE DETECTION SYSTEM,LITTLE ROCK AFB,PULASKI,AR,720994971
"NATIONAL GUARD, ARKANSAS DEPAR","$148,000.00",REPLACE WATER HEATERS,NORTH LITTLE ROCK,,AR,72199
"NATIONAL GUARD, ARKANSAS DEPAR","$39,000.00",RETRO-COMMISSIONING,NORTH LITTLE ROCK,,AR,72199
"GENE SUMMERS CONSTRUCTION, INC.","$560,704.88",SUSTAIN PAVEMENT 6TH STREET/ ARNOLD-THOMAS,LITTLE ROCK AFB,PULASKI,AR,720994971
BARNETT PAVING AND SEALING LIMITED PARTNERSHIP,"$3,064,886.10",SUSTAIN/REPAIR TAXIWAY FOXTROT,LITTLE ROCK AFB,PULASKI,AR,720994971
"NATIONAL GUARD, ARKANSAS DEPAR","$30,000.00",UTILITY METERING,NORTH LITTLE ROCK,,AR,72199
"UTILITY CONSTRUCTION COMPANY, INC.","$529,379.95"," REPAIR WATER DISTRIBUTION SYSTEM VALVES
",GLENDALE LUKE AFB,MARICOPA,AZ,853091217
"MRM CONSTRUCTION SERVICES, INC","$95,313.50", REPAIR WING TANK STORAGE YARD,GLENDALE LUKE AFB,MARICOPA,AZ,853091217
"MRM CONSTRUCTION SERVICES, INC","$109,708.99", SEAL COAT ROADS AND ACCESS PAVEMENT,GLENDALE LUKE AFB,MARICOPA,AZ,853091217
